statementID,Topic,TopicEN,statement,position,party
6, Vuurwerk ,Fireworks,Aankomende jaarwisseling moet het weer toegestaan zijn om siervuurwerk af te steken.,disagree,GroenLinks
7, Vleesbelasting ,Meat tax,Er moet een extra belasting komen op het kopen van vlees.,agree,GroenLinks
8, Publieke omroep ,Public broadcasting,Er moet minder geld naar de publieke omroep.,disagree,GroenLinks
9, Zorgfonds ,Healthcare fund,In plaats van de bestaande zorgverzekeraars moet er een landelijk zorgfonds komen voor iedereen.,agree,GroenLinks
10, Gezichtsbedekkende kleding ,Face-covering clothing,De regering moet het verbod op gezichtsbedekkende kleding afschaffen.,agree,GroenLinks
11, Volkshuisvesting ,Public housing,In plaats van provincies en gemeenten moet de landelijke overheid beslissen waar nieuwe woonwijken worden gebouwd.,disagree,GroenLinks
12, Btw op kunst en cultuur ,VAT on arts and culture,De regering moet de btw op culturele activiteiten verlagen naar 5 procent.,agree,GroenLinks
13, Kerncentrale ,Nuclear power plant,Nederland moet een nieuwe kerncentrale bouwen.,disagree,GroenLinks
14, Woningen op landbouwgrond ,Housing on agricultural land,Er moeten woningen worden gebouwd op grond die nu voor landbouw wordt gebruikt.,neutral,GroenLinks
15, Belastingvoordeel huishoudens ,Household tax benefits,"Huishoudens met twee partners waarvan er één werkt, moeten net zoveel belastingvoordeel krijgen als huishoudens met twee werkende partners.",disagree,GroenLinks
16, Excuses slavenhandel ,Apology for the slave trade,De Nederlandse regering moet excuses aanbieden voor de slavenhandel in het verleden.,agree,GroenLinks
17, Correctief referendum ,Corrective referendum,Burgers moeten de mogelijkheid krijgen om door het parlement aangenomen wetten tegen te houden via een referendum.,disagree,GroenLinks
18, Inkomen leraren ,Teacher salaries,Leraren op basisscholen moeten net zoveel gaan verdienen als leraren op middelbare scholen.,agree,GroenLinks
19, Gevangenisstraffen ,Prison sentences,Er moeten minder mogelijkheden komen om taakstraffen op te leggen in plaats van gevangenisstraffen.,disagree,GroenLinks
20, Vliegbelasting ,Air travel tax,Nederland moet een extra vliegbelasting invoeren voor korte-afstandsvluchten.,agree,GroenLinks
21, Inburgering op locatie ,Location-based integration,Asielzoekers met een voorlopige verblijfsvergunning moeten eerst inburgeren voordat zij een huurwoning krijgen.,disagree,GroenLinks
22, Legalisering softdrugs ,Legalization of soft drugs,Zowel inkoop als verkoop van softdrugs door coffeeshops moet legaal worden.,agree,GroenLinks
23, Nederlandstalig hoger onderwijs ,Dutch-language higher education,De overheid moet onderwijs in het Nederlands vaker verplicht stellen op universiteiten en hogescholen.,agree,GroenLinks
24, Voltooid leven ,Completed life,"Mensen die hun leven voltooid vinden, moeten hulp kunnen krijgen bij zelfdoding.",agree,GroenLinks
25, Koppeling minimumloon en bijstand ,Minimum wage and welfare linkage,Verhoging van de minimumlonen moet niet langer automatisch leiden tot verhoging van de bijstandsuitkeringen.,disagree,GroenLinks
26, Sociale huurwoningen ,Social housing,Nieuwbouwwijken moeten voor ten minste 40 procent bestaan uit sociale huurwoningen.,agree,GroenLinks
27, Boerenbedrijven ,Farming businesses,Er moeten geen nieuwe beperkingen komen op de activiteiten van boerenbedrijven.,disagree,GroenLinks
28, Middenschool ,Middle school,"Er moet een middenschool komen, zodat leerlingen op latere leeftijd de keuze maken tussen vmbo, havo of vwo.",agree,GroenLinks
29, Vluchtelingen opnemen ,Accepting refugees,Nederland moet meer vluchtelingen opnemen dan het nu doet.,agree,GroenLinks
30, Mondkapjesplicht ,Face mask mandate,Mensen moeten altijd zelf kunnen kiezen of ze een mondkapje dragen. ,disagree,GroenLinks
1, Vaccinatiebewijs ,Vaccination certificate,Organisatoren van evenementen moeten bij de toegang een vaccinatiebewijs kunnen vragen.,disagree,SP
2, Defensiebudget ,Defense budget,Nederland moet meer geld uitgeven aan  defensie.,disagree,SP
3, Gratis kinderopvang ,Free childcare,Kinderopvang moet voor alle ouders ten minste drie dagen in de week gratis worden.,agree,SP
4, Nederland uit EU ,Netherlands leaving the EU,Nederland moet uit de Europese Unie (EU) stappen.,disagree,SP
5, Rekeningrijden ,Road pricing,In plaats van de belasting op autobezit moet er voor automobilisten een belasting komen per gereden kilometer.,disagree,SP
6, Vuurwerk ,Fireworks,Aankomende jaarwisseling moet het weer toegestaan zijn om siervuurwerk af te steken.,agree,SP
7, Vleesbelasting ,Meat tax,Er moet een extra belasting komen op het kopen van vlees.,disagree,SP
8, Publieke omroep ,Public broadcasting,Er moet minder geld naar de publieke omroep.,disagree,SP
9, Zorgfonds ,Healthcare fund,In plaats van de bestaande zorgverzekeraars moet er een landelijk zorgfonds komen voor iedereen.,agree,SP
10, Gezichtsbedekkende kleding ,Face-covering clothing,De regering moet het verbod op gezichtsbedekkende kleding afschaffen.,disagree,SP
11, Volkshuisvesting ,Public housing,In plaats van provincies en gemeenten moet de landelijke overheid beslissen waar nieuwe woonwijken worden gebouwd.,neutral,SP
12, Btw op kunst en cultuur ,VAT on arts and culture,De regering moet de btw op culturele activiteiten verlagen naar 5 procent.,agree,SP
13, Kerncentrale ,Nuclear power plant,Nederland moet een nieuwe kerncentrale bouwen.,disagree,SP
14, Woningen op landbouwgrond ,Housing on agricultural land,Er moeten woningen worden gebouwd op grond die nu voor landbouw wordt gebruikt.,agree,SP
15, Belastingvoordeel huishoudens ,Household tax benefits,"Huishoudens met twee partners waarvan er één werkt, moeten net zoveel belastingvoordeel krijgen als huishoudens met twee werkende partners.",agree,SP
16, Excuses slavenhandel ,Apology for the slave trade,De Nederlandse regering moet excuses aanbieden voor de slavenhandel in het verleden.,agree,SP
17, Correctief referendum ,Corrective referendum,Burgers moeten de mogelijkheid krijgen om door het parlement aangenomen wetten tegen te houden via een referendum.,agree,SP
18, Inkomen leraren ,Teacher salaries,Leraren op basisscholen moeten net zoveel gaan verdienen als leraren op middelbare scholen.,agree,SP
19, Gevangenisstraffen ,Prison sentences,Er moeten minder mogelijkheden komen om taakstraffen op te leggen in plaats van gevangenisstraffen.,disagree,SP
20, Vliegbelasting ,Air travel tax,Nederland moet een extra vliegbelasting invoeren voor korte-afstandsvluchten.,disagree,SP
21, Inburgering op locatie ,Location-based integration,Asielzoekers met een voorlopige verblijfsvergunning moeten eerst inburgeren voordat zij een huurwoning krijgen.,disagree,SP
22, Legalisering softdrugs ,Legalization of soft drugs,Zowel inkoop als verkoop van softdrugs door coffeeshops moet legaal worden.,agree,SP
23, Nederlandstalig hoger onderwijs ,Dutch-language higher education,De overheid moet onderwijs in het Nederlands vaker verplicht stellen op universiteiten en hogescholen.,neutral,SP
24, Voltooid leven ,Completed life,"Mensen die hun leven voltooid vinden, moeten hulp kunnen krijgen bij zelfdoding.",disagree,SP
25, Koppeling minimumloon en bijstand ,Minimum wage and welfare linkage,Verhoging van de minimumlonen moet niet langer automatisch leiden tot verhoging van de bijstandsuitkeringen.,disagree,SP
26, Sociale huurwoningen ,Social housing,Nieuwbouwwijken moeten voor ten minste 40 procent bestaan uit sociale huurwoningen.,agree,SP
27, Boerenbedrijven ,Farming businesses,Er moeten geen nieuwe beperkingen komen op de activiteiten van boerenbedrijven.,disagree,SP
28, Middenschool ,Middle school,"Er moet een middenschool komen, zodat leerlingen op latere leeftijd de keuze maken tussen vmbo, havo of vwo.",agree,SP
29, Vluchtelingen opnemen ,Accepting refugees,Nederland moet meer vluchtelingen opnemen dan het nu doet.,agree,SP
30, Mondkapjesplicht ,Face mask mandate,Mensen moeten altijd zelf kunnen kiezen of ze een mondkapje dragen. ,disagree,SP
1, Vaccinatiebewijs ,Vaccination certificate,Organisatoren van evenementen moeten bij de toegang een vaccinatiebewijs kunnen vragen.,disagree,Partij van de Arbeid
2, Defensiebudget ,Defense budget,Nederland moet meer geld uitgeven aan  defensie.,agree,Partij van de Arbeid
3, Gratis kinderopvang ,Free childcare,Kinderopvang moet voor alle ouders ten minste drie dagen in de week gratis worden.,agree,Partij van de Arbeid
4, Nederland uit EU ,Netherlands leaving the EU,Nederland moet uit de Europese Unie (EU) stappen.,disagree,Partij van de Arbeid
5, Rekeningrijden ,Road pricing,In plaats van de belasting op autobezit moet er voor automobilisten een belasting komen per gereden kilometer.,agree,Partij van de Arbeid
6, Vuurwerk ,Fireworks,Aankomende jaarwisseling moet het weer toegestaan zijn om siervuurwerk af te steken.,disagree,Partij van de Arbeid
7, Vleesbelasting ,Meat tax,Er moet een extra belasting komen op het kopen van vlees.,disagree,Partij van de Arbeid
8, Publieke omroep ,Public broadcasting,Er moet minder geld naar de publieke omroep.,disagree,Partij van de Arbeid
9, Zorgfonds ,Healthcare fund,In plaats van de bestaande zorgverzekeraars moet er een landelijk zorgfonds komen voor iedereen.,disagree,Partij van de Arbeid
10, Gezichtsbedekkende kleding ,Face-covering clothing,De regering moet het verbod op gezichtsbedekkende kleding afschaffen.,disagree,Partij van de Arbeid
11, Volkshuisvesting ,Public housing,In plaats van provincies en gemeenten moet de landelijke overheid beslissen waar nieuwe woonwijken worden gebouwd.,agree,Partij van de Arbeid
12, Btw op kunst en cultuur ,VAT on arts and culture,De regering moet de btw op culturele activiteiten verlagen naar 5 procent.,disagree,Partij van de Arbeid
13, Kerncentrale ,Nuclear power plant,Nederland moet een nieuwe kerncentrale bouwen.,disagree,Partij van de Arbeid
14, Woningen op landbouwgrond ,Housing on agricultural land,Er moeten woningen worden gebouwd op grond die nu voor landbouw wordt gebruikt.,agree,Partij van de Arbeid
15, Belastingvoordeel huishoudens ,Household tax benefits,"Huishoudens met twee partners waarvan er één werkt, moeten net zoveel belastingvoordeel krijgen als huishoudens met twee werkende partners.",disagree,Partij van de Arbeid
16, Excuses slavenhandel ,Apology for the slave trade,De Nederlandse regering moet excuses aanbieden voor de slavenhandel in het verleden.,agree,Partij van de Arbeid
17, Correctief referendum ,Corrective referendum,Burgers moeten de mogelijkheid krijgen om door het parlement aangenomen wetten tegen te houden via een referendum.,agree,Partij van de Arbeid
18, Inkomen leraren ,Teacher salaries,Leraren op basisscholen moeten net zoveel gaan verdienen als leraren op middelbare scholen.,agree,Partij van de Arbeid
19, Gevangenisstraffen ,Prison sentences,Er moeten minder mogelijkheden komen om taakstraffen op te leggen in plaats van gevangenisstraffen.,disagree,Partij van de Arbeid
20, Vliegbelasting ,Air travel tax,Nederland moet een extra vliegbelasting invoeren voor korte-afstandsvluchten.,agree,Partij van de Arbeid
21, Inburgering op locatie ,Location-based integration,Asielzoekers met een voorlopige verblijfsvergunning moeten eerst inburgeren voordat zij een huurwoning krijgen.,agree,Partij van de Arbeid
22, Legalisering softdrugs ,Legalization of soft drugs,Zowel inkoop als verkoop van softdrugs door coffeeshops moet legaal worden.,agree,Partij van de Arbeid
23, Nederlandstalig hoger onderwijs ,Dutch-language higher education,De overheid moet onderwijs in het Nederlands vaker verplicht stellen op universiteiten en hogescholen.,agree,Partij van de Arbeid
24, Voltooid leven ,Completed life,"Mensen die hun leven voltooid vinden, moeten hulp kunnen krijgen bij zelfdoding.",agree,Partij van de Arbeid
25, Koppeling minimumloon en bijstand ,Minimum wage and welfare linkage,Verhoging van de minimumlonen moet niet langer automatisch leiden tot verhoging van de bijstandsuitkeringen.,disagree,Partij van de Arbeid
26, Sociale huurwoningen ,Social housing,Nieuwbouwwijken moeten voor ten minste 40 procent bestaan uit sociale huurwoningen.,agree,Partij van de Arbeid
27, Boerenbedrijven ,Farming businesses,Er moeten geen nieuwe beperkingen komen op de activiteiten van boerenbedrijven.,disagree,Partij van de Arbeid
28, Middenschool ,Middle school,"Er moet een middenschool komen, zodat leerlingen op latere leeftijd de keuze maken tussen vmbo, havo of vwo.",agree,Partij van de Arbeid
29, Vluchtelingen opnemen ,Accepting refugees,Nederland moet meer vluchtelingen opnemen dan het nu doet.,agree,Partij van de Arbeid
30, Mondkapjesplicht ,Face mask mandate,Mensen moeten altijd zelf kunnen kiezen of ze een mondkapje dragen. ,disagree,Partij van de Arbeid
1, Vaccinatiebewijs ,Vaccination certificate,Organisatoren van evenementen moeten bij de toegang een vaccinatiebewijs kunnen vragen.,disagree,ChristenUnie
2, Defensiebudget ,Defense budget,Nederland moet meer geld uitgeven aan  defensie.,agree,ChristenUnie
3, Gratis kinderopvang ,Free childcare,Kinderopvang moet voor alle ouders ten minste drie dagen in de week gratis worden.,neutral,ChristenUnie
4, Nederland uit EU ,Netherlands leaving the EU,Nederland moet uit de Europese Unie (EU) stappen.,disagree,ChristenUnie
5, Rekeningrijden ,Road pricing,In plaats van de belasting op autobezit moet er voor automobilisten een belasting komen per gereden kilometer.,agree,ChristenUnie
6, Vuurwerk ,Fireworks,Aankomende jaarwisseling moet het weer toegestaan zijn om siervuurwerk af te steken.,disagree,ChristenUnie
7, Vleesbelasting ,Meat tax,Er moet een extra belasting komen op het kopen van vlees.,agree,ChristenUnie
8, Publieke omroep ,Public broadcasting,Er moet minder geld naar de publieke omroep.,disagree,ChristenUnie
9, Zorgfonds ,Healthcare fund,In plaats van de bestaande zorgverzekeraars moet er een landelijk zorgfonds komen voor iedereen.,disagree,ChristenUnie
10, Gezichtsbedekkende kleding ,Face-covering clothing,De regering moet het verbod op gezichtsbedekkende kleding afschaffen.,disagree,ChristenUnie
11, Volkshuisvesting ,Public housing,In plaats van provincies en gemeenten moet de landelijke overheid beslissen waar nieuwe woonwijken worden gebouwd.,disagree,ChristenUnie
12, Btw op kunst en cultuur ,VAT on arts and culture,De regering moet de btw op culturele activiteiten verlagen naar 5 procent.,disagree,ChristenUnie
13, Kerncentrale ,Nuclear power plant,Nederland moet een nieuwe kerncentrale bouwen.,neutral,ChristenUnie
14, Woningen op landbouwgrond ,Housing on agricultural land,Er moeten woningen worden gebouwd op grond die nu voor landbouw wordt gebruikt.,agree,ChristenUnie
15, Belastingvoordeel huishoudens ,Household tax benefits,"Huishoudens met twee partners waarvan er één werkt, moeten net zoveel belastingvoordeel krijgen als huishoudens met twee werkende partners.",agree,ChristenUnie
16, Excuses slavenhandel ,Apology for the slave trade,De Nederlandse regering moet excuses aanbieden voor de slavenhandel in het verleden.,agree,ChristenUnie
17, Correctief referendum ,Corrective referendum,Burgers moeten de mogelijkheid krijgen om door het parlement aangenomen wetten tegen te houden via een referendum.,agree,ChristenUnie
18, Inkomen leraren ,Teacher salaries,Leraren op basisscholen moeten net zoveel gaan verdienen als leraren op middelbare scholen.,agree,ChristenUnie
19, Gevangenisstraffen ,Prison sentences,Er moeten minder mogelijkheden komen om taakstraffen op te leggen in plaats van gevangenisstraffen.,disagree,ChristenUnie
20, Vliegbelasting ,Air travel tax,Nederland moet een extra vliegbelasting invoeren voor korte-afstandsvluchten.,agree,ChristenUnie
21, Inburgering op locatie ,Location-based integration,Asielzoekers met een voorlopige verblijfsvergunning moeten eerst inburgeren voordat zij een huurwoning krijgen.,agree,ChristenUnie
22, Legalisering softdrugs ,Legalization of soft drugs,Zowel inkoop als verkoop van softdrugs door coffeeshops moet legaal worden.,disagree,ChristenUnie
23, Nederlandstalig hoger onderwijs ,Dutch-language higher education,De overheid moet onderwijs in het Nederlands vaker verplicht stellen op universiteiten en hogescholen.,agree,ChristenUnie
24, Voltooid leven ,Completed life,"Mensen die hun leven voltooid vinden, moeten hulp kunnen krijgen bij zelfdoding.",disagree,ChristenUnie
25, Koppeling minimumloon en bijstand ,Minimum wage and welfare linkage,Verhoging van de minimumlonen moet niet langer automatisch leiden tot verhoging van de bijstandsuitkeringen.,disagree,ChristenUnie
26, Sociale huurwoningen ,Social housing,Nieuwbouwwijken moeten voor ten minste 40 procent bestaan uit sociale huurwoningen.,agree,ChristenUnie
27, Boerenbedrijven ,Farming businesses,Er moeten geen nieuwe beperkingen komen op de activiteiten van boerenbedrijven.,neutral,ChristenUnie
28, Middenschool ,Middle school,"Er moet een middenschool komen, zodat leerlingen op latere leeftijd de keuze maken tussen vmbo, havo of vwo.",disagree,ChristenUnie
29, Vluchtelingen opnemen ,Accepting refugees,Nederland moet meer vluchtelingen opnemen dan het nu doet.,agree,ChristenUnie
30, Mondkapjesplicht ,Face mask mandate,Mensen moeten altijd zelf kunnen kiezen of ze een mondkapje dragen. ,disagree,ChristenUnie
1, Vaccinatiebewijs ,Vaccination certificate,Organisatoren van evenementen moeten bij de toegang een vaccinatiebewijs kunnen vragen.,agree,50PLUS
2, Defensiebudget ,Defense budget,Nederland moet meer geld uitgeven aan  defensie.,agree,50PLUS
3, Gratis kinderopvang ,Free childcare,Kinderopvang moet voor alle ouders ten minste drie dagen in de week gratis worden.,agree,50PLUS
4, Nederland uit EU ,Netherlands leaving the EU,Nederland moet uit de Europese Unie (EU) stappen.,disagree,50PLUS
5, Rekeningrijden ,Road pricing,In plaats van de belasting op autobezit moet er voor automobilisten een belasting komen per gereden kilometer.,agree,50PLUS
6, Vuurwerk ,Fireworks,Aankomende jaarwisseling moet het weer toegestaan zijn om siervuurwerk af te steken.,disagree,50PLUS
7, Vleesbelasting ,Meat tax,Er moet een extra belasting komen op het kopen van vlees.,disagree,50PLUS
8, Publieke omroep ,Public broadcasting,Er moet minder geld naar de publieke omroep.,disagree,50PLUS
9, Zorgfonds ,Healthcare fund,In plaats van de bestaande zorgverzekeraars moet er een landelijk zorgfonds komen voor iedereen.,disagree,50PLUS
10, Gezichtsbedekkende kleding ,Face-covering clothing,De regering moet het verbod op gezichtsbedekkende kleding afschaffen.,disagree,50PLUS
11, Volkshuisvesting ,Public housing,In plaats van provincies en gemeenten moet de landelijke overheid beslissen waar nieuwe woonwijken worden gebouwd.,agree,50PLUS
12, Btw op kunst en cultuur ,VAT on arts and culture,De regering moet de btw op culturele activiteiten verlagen naar 5 procent.,agree,50PLUS
13, Kerncentrale ,Nuclear power plant,Nederland moet een nieuwe kerncentrale bouwen.,agree,50PLUS
14, Woningen op landbouwgrond ,Housing on agricultural land,Er moeten woningen worden gebouwd op grond die nu voor landbouw wordt gebruikt.,agree,50PLUS
15, Belastingvoordeel huishoudens ,Household tax benefits,"Huishoudens met twee partners waarvan er één werkt, moeten net zoveel belastingvoordeel krijgen als huishoudens met twee werkende partners.",disagree,50PLUS
16, Excuses slavenhandel ,Apology for the slave trade,De Nederlandse regering moet excuses aanbieden voor de slavenhandel in het verleden.,disagree,50PLUS
17, Correctief referendum ,Corrective referendum,Burgers moeten de mogelijkheid krijgen om door het parlement aangenomen wetten tegen te houden via een referendum.,agree,50PLUS
18, Inkomen leraren ,Teacher salaries,Leraren op basisscholen moeten net zoveel gaan verdienen als leraren op middelbare scholen.,disagree,50PLUS
19, Gevangenisstraffen ,Prison sentences,Er moeten minder mogelijkheden komen om taakstraffen op te leggen in plaats van gevangenisstraffen.,agree,50PLUS
20, Vliegbelasting ,Air travel tax,Nederland moet een extra vliegbelasting invoeren voor korte-afstandsvluchten.,disagree,50PLUS
21, Inburgering op locatie ,Location-based integration,Asielzoekers met een voorlopige verblijfsvergunning moeten eerst inburgeren voordat zij een huurwoning krijgen.,agree,50PLUS
22, Legalisering softdrugs ,Legalization of soft drugs,Zowel inkoop als verkoop van softdrugs door coffeeshops moet legaal worden.,agree,50PLUS
23, Nederlandstalig hoger onderwijs ,Dutch-language higher education,De overheid moet onderwijs in het Nederlands vaker verplicht stellen op universiteiten en hogescholen.,agree,50PLUS
24, Voltooid leven ,Completed life,"Mensen die hun leven voltooid vinden, moeten hulp kunnen krijgen bij zelfdoding.",agree,50PLUS
25, Koppeling minimumloon en bijstand ,Minimum wage and welfare linkage,Verhoging van de minimumlonen moet niet langer automatisch leiden tot verhoging van de bijstandsuitkeringen.,disagree,50PLUS
26, Sociale huurwoningen ,Social housing,Nieuwbouwwijken moeten voor ten minste 40 procent bestaan uit sociale huurwoningen.,agree,50PLUS
27, Boerenbedrijven ,Farming businesses,Er moeten geen nieuwe beperkingen komen op de activiteiten van boerenbedrijven.,disagree,50PLUS
28, Middenschool ,Middle school,"Er moet een middenschool komen, zodat leerlingen op latere leeftijd de keuze maken tussen vmbo, havo of vwo.",agree,50PLUS
29, Vluchtelingen opnemen ,Accepting refugees,Nederland moet meer vluchtelingen opnemen dan het nu doet.,disagree,50PLUS
30, Mondkapjesplicht ,Face mask mandate,Mensen moeten altijd zelf kunnen kiezen of ze een mondkapje dragen. ,disagree,50PLUS
1, Vaccinatiebewijs ,Vaccination certificate,Organisatoren van evenementen moeten bij de toegang een vaccinatiebewijs kunnen vragen.,agree,BIj1
2, Defensiebudget ,Defense budget,Nederland moet meer geld uitgeven aan  defensie.,disagree,BIj1
3, Gratis kinderopvang ,Free childcare,Kinderopvang moet voor alle ouders ten minste drie dagen in de week gratis worden.,agree,BIj1
4, Nederland uit EU ,Netherlands leaving the EU,Nederland moet uit de Europese Unie (EU) stappen.,disagree,BIj1
5, Rekeningrijden ,Road pricing,In plaats van de belasting op autobezit moet er voor automobilisten een belasting komen per gereden kilometer.,agree,BIj1
6, Vuurwerk ,Fireworks,Aankomende jaarwisseling moet het weer toegestaan zijn om siervuurwerk af te steken.,disagree,BIj1
7, Vleesbelasting ,Meat tax,Er moet een extra belasting komen op het kopen van vlees.,disagree,BIj1
8, Publieke omroep ,Public broadcasting,Er moet minder geld naar de publieke omroep.,disagree,BIj1
9, Zorgfonds ,Healthcare fund,In plaats van de bestaande zorgverzekeraars moet er een landelijk zorgfonds komen voor iedereen.,agree,BIj1
10, Gezichtsbedekkende kleding ,Face-covering clothing,De regering moet het verbod op gezichtsbedekkende kleding afschaffen.,agree,BIj1
11, Volkshuisvesting ,Public housing,In plaats van provincies en gemeenten moet de landelijke overheid beslissen waar nieuwe woonwijken worden gebouwd.,disagree,BIj1
12, Btw op kunst en cultuur ,VAT on arts and culture,De regering moet de btw op culturele activiteiten verlagen naar 5 procent.,agree,BIj1
13, Kerncentrale ,Nuclear power plant,Nederland moet een nieuwe kerncentrale bouwen.,disagree,BIj1
14, Woningen op landbouwgrond ,Housing on agricultural land,Er moeten woningen worden gebouwd op grond die nu voor landbouw wordt gebruikt.,disagree,BIj1
15, Belastingvoordeel huishoudens ,Household tax benefits,"Huishoudens met twee partners waarvan er één werkt, moeten net zoveel belastingvoordeel krijgen als huishoudens met twee werkende partners.",agree,BIj1
16, Excuses slavenhandel ,Apology for the slave trade,De Nederlandse regering moet excuses aanbieden voor de slavenhandel in het verleden.,agree,BIj1
17, Correctief referendum ,Corrective referendum,Burgers moeten de mogelijkheid krijgen om door het parlement aangenomen wetten tegen te houden via een referendum.,disagree,BIj1
18, Inkomen leraren ,Teacher salaries,Leraren op basisscholen moeten net zoveel gaan verdienen als leraren op middelbare scholen.,agree,BIj1
19, Gevangenisstraffen ,Prison sentences,Er moeten minder mogelijkheden komen om taakstraffen op te leggen in plaats van gevangenisstraffen.,disagree,BIj1
20, Vliegbelasting ,Air travel tax,Nederland moet een extra vliegbelasting invoeren voor korte-afstandsvluchten.,agree,BIj1
21, Inburgering op locatie ,Location-based integration,Asielzoekers met een voorlopige verblijfsvergunning moeten eerst inburgeren voordat zij een huurwoning krijgen.,disagree,BIj1
22, Legalisering softdrugs ,Legalization of soft drugs,Zowel inkoop als verkoop van softdrugs door coffeeshops moet legaal worden.,agree,BIj1
23, Nederlandstalig hoger onderwijs ,Dutch-language higher education,De overheid moet onderwijs in het Nederlands vaker verplicht stellen op universiteiten en hogescholen.,disagree,BIj1
24, Voltooid leven ,Completed life,"Mensen die hun leven voltooid vinden, moeten hulp kunnen krijgen bij zelfdoding.",agree,BIj1
25, Koppeling minimumloon en bijstand ,Minimum wage and welfare linkage,Verhoging van de minimumlonen moet niet langer automatisch leiden tot verhoging van de bijstandsuitkeringen.,disagree,BIj1
26, Sociale huurwoningen ,Social housing,Nieuwbouwwijken moeten voor ten minste 40 procent bestaan uit sociale huurwoningen.,agree,BIj1
27, Boerenbedrijven ,Farming businesses,Er moeten geen nieuwe beperkingen komen op de activiteiten van boerenbedrijven.,disagree,BIj1
28, Middenschool ,Middle school,"Er moet een middenschool komen, zodat leerlingen op latere leeftijd de keuze maken tussen vmbo, havo of vwo.",agree,BIj1
29, Vluchtelingen opnemen ,Accepting refugees,Nederland moet meer vluchtelingen opnemen dan het nu doet.,agree,BIj1
30, Mondkapjesplicht ,Face mask mandate,Mensen moeten altijd zelf kunnen kiezen of ze een mondkapje dragen. ,disagree,BIj1
1, Vaccinatiebewijs ,Vaccination certificate,Organisatoren van evenementen moeten bij de toegang een vaccinatiebewijs kunnen vragen.,agree,Volt
2, Defensiebudget ,Defense budget,Nederland moet meer geld uitgeven aan  defensie.,agree,Volt
3, Gratis kinderopvang ,Free childcare,Kinderopvang moet voor alle ouders ten minste drie dagen in de week gratis worden.,agree,Volt
4, Nederland uit EU ,Netherlands leaving the EU,Nederland moet uit de Europese Unie (EU) stappen.,disagree,Volt
5, Rekeningrijden ,Road pricing,In plaats van de belasting op autobezit moet er voor automobilisten een belasting komen per gereden kilometer.,agree,Volt
6, Vuurwerk ,Fireworks,Aankomende jaarwisseling moet het weer toegestaan zijn om siervuurwerk af te steken.,disagree,Volt
7, Vleesbelasting ,Meat tax,Er moet een extra belasting komen op het kopen van vlees.,agree,Volt
8, Publieke omroep ,Public broadcasting,Er moet minder geld naar de publieke omroep.,disagree,Volt
9, Zorgfonds ,Healthcare fund,In plaats van de bestaande zorgverzekeraars moet er een landelijk zorgfonds komen voor iedereen.,disagree,Volt
10, Gezichtsbedekkende kleding ,Face-covering clothing,De regering moet het verbod op gezichtsbedekkende kleding afschaffen.,agree,Volt
11, Volkshuisvesting ,Public housing,In plaats van provincies en gemeenten moet de landelijke overheid beslissen waar nieuwe woonwijken worden gebouwd.,agree,Volt
12, Btw op kunst en cultuur ,VAT on arts and culture,De regering moet de btw op culturele activiteiten verlagen naar 5 procent.,agree,Volt
13, Kerncentrale ,Nuclear power plant,Nederland moet een nieuwe kerncentrale bouwen.,agree,Volt
14, Woningen op landbouwgrond ,Housing on agricultural land,Er moeten woningen worden gebouwd op grond die nu voor landbouw wordt gebruikt.,agree,Volt
15, Belastingvoordeel huishoudens ,Household tax benefits,"Huishoudens met twee partners waarvan er één werkt, moeten net zoveel belastingvoordeel krijgen als huishoudens met twee werkende partners.",disagree,Volt
16, Excuses slavenhandel ,Apology for the slave trade,De Nederlandse regering moet excuses aanbieden voor de slavenhandel in het verleden.,agree,Volt
17, Correctief referendum ,Corrective referendum,Burgers moeten de mogelijkheid krijgen om door het parlement aangenomen wetten tegen te houden via een referendum.,disagree,Volt
18, Inkomen leraren ,Teacher salaries,Leraren op basisscholen moeten net zoveel gaan verdienen als leraren op middelbare scholen.,disagree,Volt
19, Gevangenisstraffen ,Prison sentences,Er moeten minder mogelijkheden komen om taakstraffen op te leggen in plaats van gevangenisstraffen.,disagree,Volt
20, Vliegbelasting ,Air travel tax,Nederland moet een extra vliegbelasting invoeren voor korte-afstandsvluchten.,agree,Volt
21, Inburgering op locatie ,Location-based integration,Asielzoekers met een voorlopige verblijfsvergunning moeten eerst inburgeren voordat zij een huurwoning krijgen.,disagree,Volt
22, Legalisering softdrugs ,Legalization of soft drugs,Zowel inkoop als verkoop van softdrugs door coffeeshops moet legaal worden.,agree,Volt
23, Nederlandstalig hoger onderwijs ,Dutch-language higher education,De overheid moet onderwijs in het Nederlands vaker verplicht stellen op universiteiten en hogescholen.,disagree,Volt
24, Voltooid leven ,Completed life,"Mensen die hun leven voltooid vinden, moeten hulp kunnen krijgen bij zelfdoding.",neutral,Volt
25, Koppeling minimumloon en bijstand ,Minimum wage and welfare linkage,Verhoging van de minimumlonen moet niet langer automatisch leiden tot verhoging van de bijstandsuitkeringen.,disagree,Volt
26, Sociale huurwoningen ,Social housing,Nieuwbouwwijken moeten voor ten minste 40 procent bestaan uit sociale huurwoningen.,disagree,Volt
27, Boerenbedrijven ,Farming businesses,Er moeten geen nieuwe beperkingen komen op de activiteiten van boerenbedrijven.,disagree,Volt
